==PROF== Connected to process 10796 (C:\Users\User\AppData\Local\Programs\Python\Python312\python.exe)
==PROF== Disconnected from process 10796
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_read.sum","byte","3,456"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","dram__bytes_write.sum","byte","0"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dadd_pred_on.sum","inst","0"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dfma_pred_on.sum","inst","0"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_dmul_pred_on.sum","inst","0"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_fadd_pred_on.sum","inst","0"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_ffma_pred_on.sum","inst","0"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_fmul_pred_on.sum","inst","0"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_fp_misc_pred_on.sum","","n/a"
"0","10796","python.exe","127.0.0.1","void scal_kernel<float2, float2, (int)1, (bool)1, (int)6, (int)4, (int)4, (int)4>(cublasTransposeParams<T2>, const T1 *, T1 *, const T2 *)","1","7","(256, 1, 1)","(1, 1, 1)","0","8.9","Command line profiler metrics","sm__sass_thread_inst_executed_op_hadd_pred_on.sum","inst","0"
